Location,FullScallop_Number,T1_height,T1_length,T1_width,T2_height,T2_length,T2_width,T2_whole_weight,T2_body_weight,T2_adductor,sex,acini_1,acini_2,acini_3,acini_4,acini_5,acini_6,acini_7,acini_8,acini_9,acini_10,acini_11,acini_12,acini_13,acini_14,acini_15,acini_16,acini_17,acini_18,acini_19,acini_20,acini_21,acini_22,acini_23,acini_24,acini_25,acini_26,acini_27,acini_28,acini_29,acini_30,acini_31,acini_32,acini_count,mc_1_mode,mc_2_mean,mc_3_max
TI,313055,51,48,14,67.6,60.2,18,33.37,12.76,19,m,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,,,,,,,,,24,4,4,4
TI,313022,63,65,15,70.1,71.3,18.5,45.45,17.86,22,m,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,24,2,2,2
TI,313023,43,41,13,58.3,52.5,16.3,21.64,8.54,18,m,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,24,5,5,5
TI,313024,46,46,13,59.1,53.5,15.5,27.36,10.2,19,m,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,none,4,4,4,none,none,4,4,none,,,,,,,,,20,4,4,4
TI,313025,53,50,13,64.5,59.4,15.6,29.45,12.55,20,m,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,24,4,4,4
TI,313028,58,63,17,67.5,69.5,21.3,44.61,17.76,25,f,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,313029,58,57,15,67.9,62.5,17.6,40.9,15,20,m,1,1,1,1,1,1,2,none,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,,,,,,,,,23,1,1,1
TI,313030,50,46,15,58.8,54.6,16.7,26.04,9.68,18,m,2,2,2,1,2,2,2,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,,,,,,,,,24,2,2,2
TI,313032,63,60,18,76.5,76.2,19.5,52.78,19.7,23,f,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,24,4,4,4
TI,313034,54,57,16,61.9,66.6,17.4,35.97,11.76,24,m,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,24,2,2,2
